,Unnamed: 0,job_title,experience_level,employment_type,work_models,work_year,employee_residence,salary,salary_currency,salary_in_usd,company_location,company_size,experience_encoded,company_encoded,job_category,job_cat_encoded,job_clean,residence_category,region_encoded,map_category,map_encoded
0,0,Data Engineer,Mid-level,Full-time,Remote,2024,United States,148100,USD,148100,United States,Medium,2.0,1.0,Data Engineer,3,3,North America,5,North America,5
1,1,Data Engineer,Mid-level,Full-time,Remote,2024,United States,98700,USD,98700,United States,Medium,2.0,1.0,Data Engineer,3,3,North America,5,North America,5
2,2,Data Scientist,Senior-level,Full-time,Remote,2024,United States,140032,USD,140032,United States,Medium,3.0,1.0,Data Scientist,5,5,North America,5,North America,5
3,3,Data Scientist,Senior-level,Full-time,Remote,2024,United States,100022,USD,100022,United States,Medium,3.0,1.0,Data Scientist,5,5,North America,5,North America,5
4,4,BI Developer,Mid-level,Full-time,On-site,2024,United States,120000,USD,120000,United States,Medium,2.0,1.0,Business Intelligence,1,1,North America,5,North America,5
5,5,BI Developer,Mid-level,Full-time,On-site,2024,United States,62100,USD,62100,United States,Medium,2.0,1.0,Business Intelligence,1,1,North America,5,North America,5
6,6,Research Analyst,Entry-level,Full-time,On-site,2024,United States,250000,USD,250000,United States,Medium,0.0,1.0,Other,8,8,North America,5,North America,5
7,7,Research Analyst,Entry-level,Full-time,On-site,2024,United States,150000,USD,150000,United States,Medium,0.0,1.0,Other,8,8,North America,5,North America,5
8,8,Data Engineer,Executive-level,Full-time,Remote,2024,United States,219650,USD,219650,United States,Medium,1.0,1.0,Data Engineer,3,3,North America,5,North America,5
9,9,Data Engineer,Executive-level,Full-time,Remote,2024,United States,136000,USD,136000,United States,Medium,1.0,1.0,Data Engineer,3,3,North America,5,North America,5
10,10,Business Intelligence Developer,Mid-level,Full-time,On-site,2024,United States,87800,USD,87800,United States,Medium,2.0,1.0,Business Intelligence,1,1,North America,5,North America,5
11,11,Business Intelligence Developer,Mid-level,Full-time,On-site,2024,United States,76300,USD,76300,United States,Medium,2.0,1.0,Business Intelligence,1,1,North America,5,North America,5
12,12,Data Scientist,Mid-level,Full-time,Remote,2024,United States,148100,USD,148100,United States,Medium,2.0,1.0,Data Scientist,5,5,North America,5,North America,5
13,13,Data Scientist,Mid-level,Full-time,Remote,2024,United States,98700,USD,98700,United States,Medium,2.0,1.0,Data Scientist,5,5,North America,5,North America,5
14,14,Data Engineer,Mid-level,Full-time,On-site,2024,United States,145500,USD,145500,United States,Medium,2.0,1.0,Data Engineer,3,3,North America,5,North America,5
15,15,Data Engineer,Mid-level,Full-time,On-site,2024,United States,93000,USD,93000,United States,Medium,2.0,1.0,Data Engineer,3,3,North America,5,North America,5
16,16,Data Scientist,Mid-level,Full-time,On-site,2024,United States,85000,USD,85000,United States,Medium,2.0,1.0,Data Scientist,5,5,North America,5,North America,5
17,17,Data Scientist,Mid-level,Full-time,On-site,2024,United States,75000,USD,75000,United States,Medium,2.0,1.0,Data Scientist,5,5,North America,5,North America,5
18,18,Data Scientist,Mid-level,Full-time,On-site,2024,United States,105000,USD,105000,United States,Medium,2.0,1.0,Data Scientist,5,5,North America,5,North America,5
19,19,Data Scientist,Mid-level,Full-time,On-site,2024,United States,70000,USD,70000,United States,Medium,2.0,1.0,Data Scientist,5,5,North America,5,North America,5
20,20,Data Engineer,Senior-level,Full-time,On-site,2024,United States,204662,USD,204662,United States,Medium,3.0,1.0,Data Engineer,3,3,North America,5,North America,5
21,21,Data Engineer,Senior-level,Full-time,On-site,2024,United States,184662,USD,184662,United States,Medium,3.0,1.0,Data Engineer,3,3,North America,5,North America,5
22,22,Data Scientist,Mid-level,Full-time,On-site,2024,United States,179000,USD,179000,United States,Medium,2.0,1.0,Data Scientist,5,5,North America,5,North America,5
23,23,Data Scientist,Mid-level,Full-time,On-site,2024,United States,112000,USD,112000,United States,Medium,2.0,1.0,Data Scientist,5,5,North America,5,North America,5
24,24,Data Analyst,Entry-level,Full-time,On-site,2024,United States,115000,USD,115000,United States,Medium,0.0,1.0,Data Analyst,2,2,North America,5,North America,5
25,25,Data Analyst,Entry-level,Full-time,On-site,2024,United States,85000,USD,85000,United States,Medium,0.0,1.0,Data Analyst,2,2,North America,5,North America,5
26,26,Director of Data Science,Executive-level,Full-time,On-site,2024,United States,225000,USD,225000,United States,Medium,1.0,1.0,Data Scientist,5,5,North America,5,North America,5
27,27,Director of Data Science,Executive-level,Full-time,On-site,2024,United States,180000,USD,180000,United States,Medium,1.0,1.0,Data Scientist,5,5,North America,5,North America,5
28,28,MLOps Engineer,Senior-level,Full-time,On-site,2024,United States,175000,USD,175000,United States,Medium,3.0,1.0,Machine Learning / AI,6,6,North America,5,North America,5
29,29,MLOps Engineer,Senior-level,Full-time,On-site,2024,United States,110000,USD,110000,United States,Medium,3.0,1.0,Machine Learning / AI,6,6,North America,5,North America,5
30,30,Machine Learning Scientist,Senior-level,Full-time,On-site,2024,United States,252000,USD,252000,United States,Medium,3.0,1.0,Machine Learning / AI,6,6,North America,5,North America,5
31,31,Machine Learning Scientist,Senior-level,Full-time,On-site,2024,United States,157500,USD,157500,United States,Medium,3.0,1.0,Machine Learning / AI,6,6,North America,5,North America,5
32,32,Machine Learning Engineer,Senior-level,Full-time,On-site,2024,United States,267900,USD,267900,United States,Medium,3.0,1.0,Machine Learning / AI,6,6,North America,5,North America,5
33,33,Machine Learning Engineer,Senior-level,Full-time,On-site,2024,United States,234700,USD,234700,United States,Medium,3.0,1.0,Machine Learning / AI,6,6,North America,5,North America,5
34,34,Data Analyst,Entry-level,Full-time,On-site,2024,United States,195500,USD,195500,United States,Medium,0.0,1.0,Data Analyst,2,2,North America,5,North America,5
35,35,Data Analyst,Entry-level,Full-time,On-site,2024,United States,68000,USD,68000,United States,Medium,0.0,1.0,Data Analyst,2,2,North America,5,North America,5
36,36,Data Science Manager,Senior-level,Full-time,Remote,2024,United States,120000,USD,120000,United States,Medium,3.0,1.0,Data Scientist,5,5,North America,5,North America,5
37,37,Data Science Manager,Senior-level,Full-time,Remote,2024,United States,90000,USD,90000,United States,Medium,3.0,1.0,Data Scientist,5,5,North America,5,North America,5
38,38,Data Scientist,Senior-level,Full-time,On-site,2024,United States,242000,USD,242000,United States,Medium,3.0,1.0,Data Scientist,5,5,North America,5,North America,5
39,39,Data Scientist,Senior-level,Full-time,On-site,2024,United States,106200,USD,106200,United States,Medium,3.0,1.0,Data Scientist,5,5,North America,5,North America,5
40,40,Machine Learning Engineer,Senior-level,Full-time,On-site,2024,United States,215000,USD,215000,United States,Medium,3.0,1.0,Machine Learning / AI,6,6,North America,5,North America,5
41,41,Machine Learning Engineer,Senior-level,Full-time,On-site,2024,United States,146900,USD,146900,United States,Medium,3.0,1.0,Machine Learning / AI,6,6,North America,5,North America,5
42,42,Applied Scientist,Mid-level,Full-time,On-site,2024,United States,222200,USD,222200,United States,Large,2.0,0.0,Data Scientist,5,5,North America,5,North America,5
43,43,Applied Scientist,Mid-level,Full-time,On-site,2024,United States,136000,USD,136000,United States,Large,2.0,0.0,Data Scientist,5,5,North America,5,North America,5
44,44,Data Scientist,Mid-level,Full-time,Remote,2024,United States,246000,USD,246000,United States,Medium,2.0,1.0,Data Scientist,5,5,North America,5,North America,5
45,45,Data Scientist,Mid-level,Full-time,Remote,2024,United States,190000,USD,190000,United States,Medium,2.0,1.0,Data Scientist,5,5,North America,5,North America,5
46,46,Data Engineer,Mid-level,Full-time,Remote,2024,United States,165000,USD,165000,United States,Medium,2.0,1.0,Data Engineer,3,3,North America,5,North America,5
47,47,Data Engineer,Mid-level,Full-time,Remote,2024,United States,129600,USD,129600,United States,Medium,2.0,1.0,Data Engineer,3,3,North America,5,North America,5
48,48,Business Intelligence Analyst,Mid-level,Full-time,On-site,2024,United States,200400,USD,200400,United States,Medium,2.0,1.0,Business Intelligence,1,1,North America,5,North America,5
49,49,Business Intelligence Analyst,Mid-level,Full-time,On-site,2024,United States,126900,USD,126900,United States,Medium,2.0,1.0,Business Intelligence,1,1,North America,5,North America,5
50,50,Machine Learning Engineer,Senior-level,Full-time,Remote,2024,United States,322000,USD,322000,United States,Medium,3.0,1.0,Machine Learning / AI,6,6,North America,5,North America,5
51,51,Machine Learning Engineer,Senior-level,Full-time,Remote,2024,United States,230000,USD,230000,United States,Medium,3.0,1.0,Machine Learning / AI,6,6,North America,5,North America,5
52,52,Data Analyst,Senior-level,Full-time,On-site,2024,United States,175520,USD,175520,United States,Medium,3.0,1.0,Data Analyst,2,2,North America,5,North America,5
53,53,Data Analyst,Senior-level,Full-time,On-site,2024,United States,103786,USD,103786,United States,Medium,3.0,1.0,Data Analyst,2,2,North America,5,North America,5
54,54,Analytics Engineer,Senior-level,Full-time,Remote,2024,United States,170000,USD,170000,United States,Medium,3.0,1.0,Data Analyst,2,2,North America,5,North America,5
55,55,Analytics Engineer,Senior-level,Full-time,Remote,2024,United States,130000,USD,130000,United States,Medium,3.0,1.0,Data Analyst,2,2,North America,5,North America,5
56,56,Data Scientist,Senior-level,Full-time,On-site,2024,United States,195000,USD,195000,United States,Medium,3.0,1.0,Data Scientist,5,5,North America,5,North America,5
57,57,Data Scientist,Senior-level,Full-time,On-site,2024,United States,146900,USD,146900,United States,Medium,3.0,1.0,Data Scientist,5,5,North America,5,North America,5
58,58,Data Scientist,Mid-level,Full-time,Remote,2024,United States,170400,USD,170400,United States,Medium,2.0,1.0,Data Scientist,5,5,North America,5,North America,5
59,59,Data Scientist,Mid-level,Full-time,Remote,2024,United States,106500,USD,106500,United States,Medium,2.0,1.0,Data Scientist,5,5,North America,5,North America,5
60,60,Data Analyst,Mid-level,Full-time,On-site,2024,United States,134500,USD,134500,United States,Medium,2.0,1.0,Data Analyst,2,2,North America,5,North America,5
61,61,Data Analyst,Mid-level,Full-time,On-site,2024,United States,100000,USD,100000,United States,Medium,2.0,1.0,Data Analyst,2,2,North America,5,North America,5
62,62,Data Engineer,Mid-level,Full-time,On-site,2024,United States,159000,USD,159000,United States,Medium,2.0,1.0,Data Engineer,3,3,North America,5,North America,5
63,63,Data Engineer,Mid-level,Full-time,On-site,2024,United States,111300,USD,111300,United States,Medium,2.0,1.0,Data Engineer,3,3,North America,5,North America,5
64,64,Machine Learning Engineer,Mid-level,Full-time,On-site,2024,United States,173400,USD,173400,United States,Medium,2.0,1.0,Machine Learning / AI,6,6,North America,5,North America,5
65,65,Machine Learning Engineer,Mid-level,Full-time,On-site,2024,United States,99100,USD,99100,United States,Medium,2.0,1.0,Machine Learning / AI,6,6,North America,5,North America,5
66,66,Business Intelligence Engineer,Senior-level,Full-time,On-site,2024,United States,185000,USD,185000,United States,Large,3.0,0.0,Business Intelligence,1,1,North America,5,North America,5
67,67,Business Intelligence Engineer,Senior-level,Full-time,On-site,2024,United States,79600,USD,79600,United States,Large,3.0,0.0,Business Intelligence,1,1,North America,5,North America,5
68,68,Data Science,Executive-level,Full-time,Remote,2024,United States,323700,USD,323700,United States,Medium,1.0,1.0,Data Scientist,5,5,North America,5,North America,5
69,69,Data Science,Executive-level,Full-time,Remote,2024,United States,190500,USD,190500,United States,Medium,1.0,1.0,Data Scientist,5,5,North America,5,North America,5
70,70,Data Scientist,Senior-level,Full-time,On-site,2024,United States,218000,USD,218000,United States,Medium,3.0,1.0,Data Scientist,5,5,North America,5,North America,5
71,71,Data Scientist,Senior-level,Full-time,On-site,2024,United States,145000,USD,145000,United States,Medium,3.0,1.0,Data Scientist,5,5,North America,5,North America,5
72,72,Research Scientist,Senior-level,Full-time,On-site,2024,United States,258100,USD,258100,United States,Medium,3.0,1.0,Data Scientist,5,5,North America,5,North America,5
73,73,Research Scientist,Senior-level,Full-time,On-site,2024,United States,151900,USD,151900,United States,Medium,3.0,1.0,Data Scientist,5,5,North America,5,North America,5
74,74,Data Science,Mid-level,Full-time,On-site,2024,United States,179000,USD,179000,United States,Medium,2.0,1.0,Data Scientist,5,5,North America,5,North America,5
75,75,Data Science,Mid-level,Full-time,On-site,2024,United States,106500,USD,106500,United States,Medium,2.0,1.0,Data Scientist,5,5,North America,5,North America,5
76,76,Data Scientist,Mid-level,Full-time,On-site,2024,United States,212800,USD,212800,United States,Large,2.0,0.0,Data Scientist,5,5,North America,5,North America,5
77,77,Data Scientist,Mid-level,Full-time,On-site,2024,United States,111600,USD,111600,United States,Large,2.0,0.0,Data Scientist,5,5,North America,5,North America,5
78,78,Machine Learning Engineer,Senior-level,Full-time,Remote,2024,United States,166700,USD,166700,United States,Medium,3.0,1.0,Machine Learning / AI,6,6,North America,5,North America,5
79,79,Machine Learning Engineer,Senior-level,Full-time,Remote,2024,United States,150000,USD,150000,United States,Medium,3.0,1.0,Machine Learning / AI,6,6,North America,5,North America,5
80,80,Machine Learning Engineer,Senior-level,Full-time,On-site,2024,United States,220000,USD,220000,United States,Medium,3.0,1.0,Machine Learning / AI,6,6,North America,5,North America,5
81,81,Machine Learning Engineer,Senior-level,Full-time,On-site,2024,United States,170000,USD,170000,United States,Medium,3.0,1.0,Machine Learning / AI,6,6,North America,5,North America,5
82,82,Machine Learning Engineer,Senior-level,Full-time,Remote,2024,United States,418000,USD,418000,United States,Medium,3.0,1.0,Machine Learning / AI,6,6,North America,5,North America,5
83,83,Machine Learning Engineer,Senior-level,Full-time,Remote,2024,United States,141000,USD,141000,United States,Medium,3.0,1.0,Machine Learning / AI,6,6,North America,5,North America,5
84,84,Research Engineer,Senior-level,Full-time,On-site,2024,United States,440000,USD,440000,United States,Medium,3.0,1.0,Other,8,8,North America,5,North America,5
85,85,Research Engineer,Senior-level,Full-time,On-site,2024,United States,100000,USD,100000,United States,Medium,3.0,1.0,Other,8,8,North America,5,North America,5
86,86,Managing Director Data Science,Executive-level,Full-time,Hybrid,2024,United States,260000,USD,260000,United States,Large,1.0,0.0,Data Scientist,5,5,North America,5,North America,5
87,87,Data Scientist,Executive-level,Full-time,On-site,2024,United States,246100,USD,246100,United States,Medium,1.0,1.0,Data Scientist,5,5,North America,5,North America,5
88,88,Data Scientist,Executive-level,Full-time,On-site,2024,United States,181900,USD,181900,United States,Medium,1.0,1.0,Data Scientist,5,5,North America,5,North America,5
89,89,Machine Learning Engineer,Entry-level,Full-time,On-site,2024,United States,91000,USD,91000,United States,Medium,0.0,1.0,Machine Learning / AI,6,6,North America,5,North America,5
90,90,Machine Learning Engineer,Entry-level,Full-time,On-site,2024,United States,70000,USD,70000,United States,Medium,0.0,1.0,Machine Learning / AI,6,6,North America,5,North America,5
91,91,Business Intelligence Developer,Executive-level,Full-time,On-site,2024,United States,177500,USD,177500,United States,Medium,1.0,1.0,Business Intelligence,1,1,North America,5,North America,5
92,92,Business Intelligence Developer,Executive-level,Full-time,On-site,2024,United States,117500,USD,117500,United States,Medium,1.0,1.0,Business Intelligence,1,1,North America,5,North America,5
93,93,Business Intelligence Analyst,Entry-level,Full-time,On-site,2024,United States,95000,USD,95000,United States,Medium,0.0,1.0,Business Intelligence,1,1,North America,5,North America,5
94,94,Business Intelligence Analyst,Entry-level,Full-time,On-site,2024,United States,70000,USD,70000,United States,Medium,0.0,1.0,Business Intelligence,1,1,North America,5,North America,5
95,95,Data Science,Senior-level,Full-time,On-site,2024,United States,258720,USD,258720,United States,Medium,3.0,1.0,Data Scientist,5,5,North America,5,North America,5
96,96,Data Science,Senior-level,Full-time,On-site,2024,United States,160000,USD,160000,United States,Medium,3.0,1.0,Data Scientist,5,5,North America,5,North America,5
97,97,BI Developer,Mid-level,Full-time,On-site,2024,United States,154800,USD,154800,United States,Medium,2.0,1.0,Business Intelligence,1,1,North America,5,North America,5
98,98,BI Developer,Mid-level,Full-time,On-site,2024,United States,76300,USD,76300,United States,Medium,2.0,1.0,Business Intelligence,1,1,North America,5,North America,5
99,99,AI Engineer,Mid-level,Full-time,On-site,2024,United States,170200,USD,170200,United States,Medium,2.0,1.0,Machine Learning / AI,6,6,North America,5,North America,5
100,100,AI Engineer,Mid-level,Full-time,On-site,2024,United States,83900,USD,83900,United States,Medium,2.0,1.0,Machine Learning / AI,6,6,North America,5,North America,5
101,101,Data Engineer,Senior-level,Full-time,Remote,2024,United States,205000,USD,205000,United States,Medium,3.0,1.0,Data Engineer,3,3,North America,5,North America,5
102,102,Data Engineer,Senior-level,Full-time,Remote,2024,United States,165000,USD,165000,United States,Medium,3.0,1.0,Data Engineer,3,3,North America,5,North America,5
103,103,Data Scientist,Mid-level,Full-time,On-site,2024,United States,250000,USD,250000,United States,Medium,2.0,1.0,Data Scientist,5,5,North America,5,North America,5
104,104,Data Scientist,Mid-level,Full-time,On-site,2024,United States,131600,USD,131600,United States,Medium,2.0,1.0,Data Scientist,5,5,North America,5,North America,5
105,105,Data Scientist,Senior-level,Full-time,On-site,2024,United States,240000,USD,240000,United States,Medium,3.0,1.0,Data Scientist,5,5,North America,5,North America,5
106,106,Data Scientist,Senior-level,Full-time,On-site,2024,United States,187000,USD,187000,United States,Medium,3.0,1.0,Data Scientist,5,5,North America,5,North America,5
107,107,Data Engineer,Mid-level,Full-time,On-site,2024,United States,134600,USD,134600,United States,Medium,2.0,1.0,Data Engineer,3,3,North America,5,North America,5
108,108,Data Engineer,Mid-level,Full-time,On-site,2024,United States,103000,USD,103000,United States,Medium,2.0,1.0,Data Engineer,3,3,North America,5,North America,5
109,109,Machine Learning Engineer,Senior-level,Full-time,On-site,2024,United States,324000,USD,324000,United States,Medium,3.0,1.0,Machine Learning / AI,6,6,North America,5,North America,5
110,110,Machine Learning Engineer,Senior-level,Full-time,On-site,2024,United States,159000,USD,159000,United States,Medium,3.0,1.0,Machine Learning / AI,6,6,North America,5,North America,5
111,111,Data Engineer,Senior-level,Full-time,On-site,2024,United States,385000,USD,385000,United States,Medium,3.0,1.0,Data Engineer,3,3,North America,5,North America,5
112,112,Data Engineer,Senior-level,Full-time,On-site,2024,United States,245000,USD,245000,United States,Medium,3.0,1.0,Data Engineer,3,3,North America,5,North America,5
113,113,Data Scientist,Mid-level,Full-time,On-site,2024,United States,385000,USD,385000,United States,Medium,2.0,1.0,Data Scientist,5,5,North America,5,North America,5
114,114,Data Scientist,Mid-level,Full-time,On-site,2024,United States,245000,USD,245000,United States,Medium,2.0,1.0,Data Scientist,5,5,North America,5,North America,5
115,115,Data Engineer,Mid-level,Full-time,On-site,2024,United States,214300,USD,214300,United States,Medium,2.0,1.0,Data Engineer,3,3,North America,5,North America,5
116,116,Data Engineer,Mid-level,Full-time,On-site,2024,United States,108500,USD,108500,United States,Medium,2.0,1.0,Data Engineer,3,3,North America,5,North America,5
117,117,Machine Learning Engineer,Senior-level,Full-time,On-site,2024,United States,245700,USD,245700,United States,Medium,3.0,1.0,Machine Learning / AI,6,6,North America,5,North America,5
118,118,Machine Learning Engineer,Senior-level,Full-time,On-site,2024,United States,132300,USD,132300,United States,Medium,3.0,1.0,Machine Learning / AI,6,6,North America,5,North America,5
119,119,Data Specialist,Mid-level,Full-time,On-site,2024,United States,80000,USD,80000,United States,Medium,2.0,1.0,Other,8,8,North America,5,North America,5
120,120,Data Specialist,Mid-level,Full-time,On-site,2024,United States,73000,USD,73000,United States,Medium,2.0,1.0,Other,8,8,North America,5,North America,5
121,121,Machine Learning Engineer,Senior-level,Full-time,Remote,2024,United States,263500,USD,263500,United States,Medium,3.0,1.0,Machine Learning / AI,6,6,North America,5,North America,5
122,122,Machine Learning Engineer,Senior-level,Full-time,Remote,2024,United States,189360,USD,189360,United States,Medium,3.0,1.0,Machine Learning / AI,6,6,North America,5,North America,5
123,123,Data Architect,Senior-level,Full-time,Remote,2024,United States,175000,USD,175000,United States,Medium,3.0,1.0,Architecture / Modeling,0,0,North America,5,North America,5
124,124,Data Architect,Senior-level,Full-time,Remote,2024,United States,125000,USD,125000,United States,Medium,3.0,1.0,Architecture / Modeling,0,0,North America,5,North America,5
125,125,Data Science,Executive-level,Full-time,On-site,2024,United States,175762,USD,175762,United States,Medium,1.0,1.0,Data Scientist,5,5,North America,5,North America,5
126,126,Data Science,Executive-level,Full-time,On-site,2024,United States,97254,USD,97254,United States,Medium,1.0,1.0,Data Scientist,5,5,North America,5,North America,5
127,127,Applied Scientist,Senior-level,Full-time,Remote,2024,United States,218213,USD,218213,United States,Medium,3.0,1.0,Data Scientist,5,5,North America,5,North America,5
128,128,Applied Scientist,Senior-level,Full-time,Remote,2024,United States,178538,USD,178538,United States,Medium,3.0,1.0,Data Scientist,5,5,North America,5,North America,5
129,129,Research Engineer,Mid-level,Full-time,On-site,2024,United States,440000,USD,440000,United States,Medium,2.0,1.0,Other,8,8,North America,5,North America,5
130,130,Research Engineer,Mid-level,Full-time,On-site,2024,United States,295000,USD,295000,United States,Medium,2.0,1.0,Other,8,8,North America,5,North America,5
131,131,Research Engineer,Mid-level,Full-time,On-site,2024,United States,118600,USD,118600,United States,Medium,2.0,1.0,Other,8,8,North America,5,North America,5
132,132,Research Engineer,Mid-level,Full-time,On-site,2024,United States,96800,USD,96800,United States,Medium,2.0,1.0,Other,8,8,North America,5,North America,5
133,133,Data Scientist,Mid-level,Full-time,On-site,2024,United States,198800,USD,198800,United States,Medium,2.0,1.0,Data Scientist,5,5,North America,5,North America,5
134,134,Data Scientist,Mid-level,Full-time,On-site,2024,United States,90700,USD,90700,United States,Medium,2.0,1.0,Data Scientist,5,5,North America,5,North America,5
135,135,Data Engineer,Senior-level,Full-time,On-site,2024,United States,145000,USD,145000,United States,Medium,3.0,1.0,Data Engineer,3,3,North America,5,North America,5
136,136,Data Engineer,Senior-level,Full-time,On-site,2024,United States,115000,USD,115000,United States,Medium,3.0,1.0,Data Engineer,3,3,North America,5,North America,5
137,137,Data Engineer,Senior-level,Full-time,On-site,2024,United States,269100,USD,269100,United States,Medium,3.0,1.0,Data Engineer,3,3,North America,5,North America,5
138,138,Data Engineer,Senior-level,Full-time,On-site,2024,United States,131300,USD,131300,United States,Medium,3.0,1.0,Data Engineer,3,3,North America,5,North America,5
139,139,Research Engineer,Mid-level,Full-time,On-site,2024,United States,245000,USD,245000,United States,Medium,2.0,1.0,Other,8,8,North America,5,North America,5
140,140,Data Analyst,Entry-level,Full-time,On-site,2024,United States,99900,USD,99900,United States,Medium,0.0,1.0,Data Analyst,2,2,North America,5,North America,5
141,141,Data Analyst,Entry-level,Full-time,On-site,2024,United States,83000,USD,83000,United States,Medium,0.0,1.0,Data Analyst,2,2,North America,5,North America,5
142,142,Research Engineer,Mid-level,Full-time,On-site,2024,United States,240960,USD,240960,United States,Medium,2.0,1.0,Other,8,8,North America,5,North America,5
143,143,Research Engineer,Mid-level,Full-time,On-site,2024,United States,190000,USD,190000,United States,Medium,2.0,1.0,Other,8,8,North America,5,North America,5
